Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C2, C3, C4, C5, C6, C8",0402,9,100nF,C1525
"C10, C9",0402,2,15pF,C1548
"C11, C17, C18, C7",0402,4,1uF,C52923
D1,D_SOD-323,1,1N5819WS,C191023
D2,0603,1,LED_PWR,C2286
D3,0603,1,LED_USR,C2286
D4,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,1,LED_RGB,C5349954
J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R10, R2, R7, R8, R9",0402,5,1K,C11702
"R3, R4",0402,2,33R,C25105
"R5, R6",0402,2,5K1,C25905
SW1,SW-SMD_L3.9-W3.0-P4.45,1,BTN_BOOT,C455280
SW2,SW-SMD_L3.9-W3.0-P4.45,1,BTN_RST,C455280
SW3,SW-SMD_L3.9-W3.0-P4.45,1,BTN_USR,C455280
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,C2843335
U3,SOT-23-6,1,USBLC6-2SC6,C5180249
U5,SOT-23-3,1,XC6206PxxxMR,C5446
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MOB4SI 12pF,C70565
