Designator,Mid X,Mid Y,Rotation,Layer
C1,65.45,-58.5,0.0,top
C10,60.84,-65.73,270.0,top
C11,62.2,-52.25,90.0,top
C13,60.7,-52.0,90.0,top
C14,61.315,-63.03,270.0,top
C17,64.08,-48.88,180.0,top
C18,64.45,-43.78,180.0,top
C2,65.275,-52.65,0.0,top
C3,54.79,-58.53,180.0,top
C4,65.275,-53.57,0.0,top
C5,60.39,-63.03,270.0,top
C6,55.615,-53.75,90.0,top
C7,63.12,-52.34,90.0,top
C8,58.3,-48.79,180.0,top
C9,55.64,-65.73,270.0,top
D1,63.79,-38.955,180.0,top
D2,62.14,-41.605,270.0,top
D3,56.8775,-45.63,180.0,top
D4,63.09,-66.46,0.0,top
J1,60.5,-34.38,180.0,top
R10,63.44,-63.33,0.0,top
R2,55.275,-34.24,90.0,top
R3,60.955,-50.13,270.0,top
R4,61.9,-50.13,270.0,top
R5,61.715,-38.52,270.0,top
R6,58.765,-38.505,270.0,top
R7,59.465,-63.08,90.0,top
R8,62.24,-44.08,90.0,top
R9,57.365,-46.855,180.0,top
SW1,56.34,-41.0,270.0,top
SW2,62.24,-70.88,90.0,top
SW3,57.39,-70.88,90.0,top
U1,60.24,-57.38,90.0,top
U2,57.54,-50.53,0.0,top
U3,60.0625,-45.35,90.0,top
U5,64.06,-46.35,270.0,top
X1,58.24,-65.73,180.0,top
